Id,File No.,Permit Code,Ranking No,New Permit No,APPLICANT NAME,POSTAL ADDRESS,Email,Tell 1,Tell 2,Region,DISTRICT,WARD,STREET/VILLAGE,Source,Source Name,Purpose Description (Water Use),Water Use Category,Approved (l/s),Requested Amount (l/s),Source Capacity (l/s),Amount  returned (l/s),Latitude (Decimal degree),Longitude (Decimal degree),Intake GPS Location Name,Application Date,Permit History,Permit Type,Permit Activity,Issue Date,Permit Duration (Days),Expire Date,Permit Validity Period,Permit Status,Review No,Permit Review 1 Issue Date,Permit Duration,Expire Date,Permit Validity Period,Permit Status,Permit Review 3 Issue Date,Permit Duration,Expire Date,Permit Validity Period,Permit Status,Pangani Mainstem,WUA,
2289,11102079,1110,2079,11102079,KERAI CONSTRUCTION,PO BOX 2193 ARUSHA,,754305269,,Arusha,Arusha,,SOMBETINI SOKO KUU,Borehole,BOREHOLE,Construction,Other Categories,,0,0,,,,SOMBETINI SOKO KUU,16-Jan-19,New,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2290,11102080,1110,2080,11102080,IDDI RIDHIWANI,,ridhii@yahoo.com,2.55759E+11,,Arusha,Arusha,,SHAMSI,Borehole,BOREHOLE,Individual,Domestic,0.01,0.01,0.01,,,,SHAMSI,16-Jan-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2291,11102081,1110,2081,11102081,MARIAM SHUFAA KURAISH,P.O 'BOX 25 USA RIVER,,2.55785E+11,,Arusha,ARUSHA,,KALOLENI,Borehole,BOREHOLE,Individual,Domestic,0.5,0.5,0.5,,,,KALOLENI,24-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2292,11102082,1110,2082,11102082,CHELECHELE HOLDING LTD,PO BOX 1232 ARUSHA,,2.55785E+11,,Arusha,ARUMERU,,NKOANEKOLI USA RIVER,Borehole,BOREHOLE,Institution,Community Water Supply ,2,2,2,,,,NKOANEKOLI USA RIVER,22-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
2293,11102083,1110,2083,11102083,SWAMI DEVELOPERS,PO BOX 2193 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,OLORIENI,Borehole,BOREHOLE,Institution,Community Water Supply ,5.6,5.6,5.6,,,,OLORIENI,27-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2294,11102084,1110,2084,11102084,GOVIND J PATEL,PO BOX 2193 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,OLORIENI,Borehole,BOREHOLE,Individual,Domestic,5.6,5.6,5.6,,,,OLORIENI,27-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2296,11102085,1110,2085,11102085,CHELECHELE HOLDING LTD,P .O .BOX 1232 ARUSHA,,2.55785E+11,,Arusha,Arumeru,,OLDADAI AREA,Borehole,BOREHOLE,Institution,Community Water Supply ,0.02,0.02,0.02,,,,OLDADAI AREA,22-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu ,
2299,11102087,1110,2087,11102087,INT'L DIARY PRODUCTS (T) LTD,P.O. BOX 7109 TANGA,,2.55754E+11,,Arusha,ARUSHA,,"ESSO, UNGA LTD",Borehole,BOREHOLE,Large Scale Industry,Industry and Business,5,5,5,,,,"ESSO, UNGA LTD",15-Mar-19,New,Water Use Permit,Active,15-Mar-19,1826.25,14-Mar-24,-337.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2301,11102088,1110,2088,11102088,SABRI SINGH HANSPAL,P.O. BOX 149 ARUSHA,,2.55757E+11,,Arusha,Arusha,,BARAA MOSHONO,Borehole,BOREHOLE,Individual,Domestic,3,3,3,,,,BARAA MOSHONO,22-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2302,11102089,1110,2089,11102089,KASSIM COLLINS RHEW,P.O .BOX 13668 Arusha,,2.55768E+11,,Arusha,Arusha,,MAJENGO LEVOLOSI,Borehole,BOREHOLE,Individual,Domestic,0.02,0.02,0.02,,,,MAJENGO LEVOLOSI,23-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2304,11102090,1110,2090,11102090,RAJUL MOTICHAND SHAH,PO BOX 587 ARUSHA,,2.55785E+11,754788888,Arusha,ARUSHA,,NJIRO,Borehole,BOREHOLE,Individual,Domestic,0.5,0.5,0.5,,9626226,244274,NJIRO,17-Jan-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2305,11102091,1110,2091,11102091,JOYCE DAVID LAUWO,P.O.BOX 2560,benjadn@yahoo.com,2.55755E+11,,Arusha,ARUSHA,,ILKIUREI,Borehole,BOREHOLE,Individual,Domestic,0.5,0.5,0.5,,,,ILKIUREI,27-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2306,11102092,1110,2092,11102092,SHEDRACK N SHOO,,shoowity@yahoo.com,2.55714E+11,,Arusha,ARUSHA,,NGARENARO,Borehole,BOREHOLE,Individual,Domestic,1,1,1,,,,NGARENARO,26-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2307,11102093,1110,2093,11102093,MERVES HOTEL,11650,,2.55784E+11,,Arusha,ARUSHA,,NAUREL,Borehole,BOREHOLE,Hotel,Domestic,0.06,0.06,0.06,,,,NAUREL,22-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2308,11102094,1110,2094,11102094,ROBERT J KAMNDE,P.O.BOX 2318 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,OLOSIVA,Borehole,BOREHOLE,Individual,Community Water Supply ,0.02,0.02,0.02,,,,OLOSIVA,26-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2309,11102095,1110,2095,11102095,HADIJA MIRAJI,,,2.55759E+11,,Arusha,ARUSHA,,SOMBETINI,Borehole,BOREHOLE,Individual,Community Water Supply ,0.01,0.01,0.01,,,,SOMBETINI,17-Jan-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2310,11102096,1110,2096,11102096,PARAMOUNT HOSPITAL,P.O.BOX 14615,daktarip@hotmail.com,2.55754E+11,,Arusha,ARUSHA,,ORMOTI MATEVES,Borehole,BOREHOLE,Large Scale Industry,Industry and Business,0.1,0.1,0.1,,,,ORMOTI MATEVES,28-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2311,11102097,1110,2097,11102097,GOVIND J PATEL,P.0.BOX 2193 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,SOMBETINI,Borehole,BOREHOLE,Individual,Community Water Supply ,2,2,2,,,,SOMBETINI,27-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2313,11102098,1110,2098,11102098,WITNESS SHEDRACK SHOO,,shoowity@yahoo.com,2.55714E+11,,Arusha,ARUSHA,,NGARAMTONI YA CHINI,Borehole,BOREHOLE,Individual,Community Water Supply ,0.01,0.01,0.01,,,,NGARAMTONI YA CHINI,26-Nov-11,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2314,11102099,1110,2099,11102099,AKBER HUSSEIN SAJANS,P.O.BOX 3110 Arusha,akber@monijis.co,2.55788E+11,,Arusha,ARUSHA,,THEMI INDUSTRIES,Borehole,BOREHOLE,Large Scale Industry,Industry and Business,0.01,0.01,0.01,,9625142,245979,THEMI INDUSTRIES,17-Jan-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2315,11102100,1110,2100,11102100,ELIPRESENT NKINI,P.0. BOX 11525 ARUSHA,,2.55754E+11,,Arusha,Arumeru,,KIRANY- SOINE,Borehole,BOREHOLE,Individual,Community Water Supply ,1,1,1,,,,KIRANY- SOINE,1-Jul-19,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
2316,11102101,1110,2101,11102101,ESTOMIH E MWANGA,P.O.Box 13174 ARUSHA,,2.55755E+11,,Arusha,ARUSHA,,NJIRO,Borehole,BOREHOLE,Individual,Community Water Supply ,0.01,0.01,0.01,,,,NJIRO,1-Mar-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2317,11102102,1110,2102,11102102,WILSON TUMAINI MGONJA,P.O.Box 436 ARUSHA,willyenterpri99@yahoo.com,2.55767E+11,,Arusha,ARUSHA,,SAKINA KIRANYI,Borehole,BOREHOLE,Individual,Community Water Supply ,0.2,0.2,0.2,,,,SAKINA KIRANYI,30-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2318,11102103,1110,2103,11102103,CHARLES HENDRY MANYANGA,P.O.Box 238 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,SOKONI II,Borehole,BOREHOLE,Individual,Community Water Supply ,0.1,0.1,0.1,,,,SOKONI II,11-Aug-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2319,11102104,1110,2104,11102104,AKBER SAJAn,P.O.Box 3110 ARUSHA,akber@mamjis.com,2.55788E+11,,Arusha,ARUSHA,,OLORIENI,Borehole,BOREHOLE,Individual,Community Water Supply ,0.02,0.02,0.02,,,,OLORIENI,1-Feb-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2320,11102105,1110,2105,11102105,Charles Hendry Manyanga,P.O.Box 238 Arusha,,2.55754E+11,,Arusha,Arusha,,Sokoni II,Borehole,BOREHOLE,Individual,Community Water Supply ,0.1,0.1,0.1,,,,Sokoni II,4-Jan-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2321,11102106,1110,2106,11102106,KEIYA MSUYA,P.O.B0x 1703 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,SAKINA (MOTEL 2000 AREA),Borehole,BOREHOLE,Individual,Community Water Supply ,0.1,0.1,0.1,,,,SAKINA (MOTEL 2000 AREA),12-May-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2322,11102107,1110,2107,11102107,THOMAS PHILIP OLOTO,P.O.Box 360 ARUSHA,,2.55785E+11,,Arusha,ARUSHA,,MAJENGO,Borehole,BOREHOLE,Individual,Community Water Supply ,0.01,0.01,0.01,,,,MAJENGO,28-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2323,11102108,1110,2108,11102108,THOMAS PHILIP OLOTO,P.O.Box 360 ARUSHA,,2.55755E+11,,Arusha,ARUSHA,,CORRIDOR AREA,Borehole,BOREHOLE,Individual,Community Water Supply ,0.01,0.01,0.01,,,,CORRIDOR AREA,28-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2325,11102109,1110,2109,11102109,MATLIDA PHILIP,P.O.Box 360 ARUSHA,,2.55785E+11,,Arusha,ARUSHA,,KALOLENI MASHARIKI,Borehole,BOREHOLE,Individual,Community Water Supply ,0.01,0.01,0.01,,,,KALOLENI MASHARIKI,28-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2326,11102110,1110,2110,11102110,WILSON TUMAINI MGONJA,P.O.Box 436 ARUSHA,willyenter99@yahoo.com,2.55767E+11,,Arusha,ARUSHA,,NJIRO,Borehole,BOREHOLE,Individual,Community Water Supply ,0.1,0.1,0.1,,,,NJIRO,30-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2327,11102111,1110,2111,11102111,MSIKITI WA KADIRIYA,PO BOX 1409 ARUSHA,,2.55752E+11,,Arusha,ARUSHA,,SOKONI I,Borehole,BOREHOLE,Institution,Community Water Supply ,0.03,0.03,0.03,,,,SOKONI I,4-Dec-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2328,11102112,1110,2112,11102112,ABBAS ABDULKADIR SONDE,PO BOX 1130 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,BURKA,Borehole,BOREHOLE,Individual,Domestic,0.5,0.5,0.5,,,,BURKA,4-Dec-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2329,11102113,1110,2113,11102113,GOLDEN LAND SHELTERS LTD,,info@bulktz.com,2.55754E+11,,Arusha,ARUSHA,,NJIRO,Borehole,BOREHOLE,Institution,Community Water Supply ,0.5,0.5,0.5,,,,NJIRO,3-Dec-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2330,11102114,1110,2114,11102114,RAJAB MURBHAI,,info@bulktz.com,2.55754E+11,,Arusha,ARUSHA,,OLORIEN PPF,Borehole,BOREHOLE,Individual,Domestic,0.8,0.8,0.8,,,,OLORIEN PPF,3-Dec-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2331,11102115,1110,2115,11102115,CEAR INTERNATIONAL LTD,PO BOX 7372 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,LINDI STREET,Borehole,BOREHOLE,Individual,Domestic,0.1,0.1,0.1,,,,LINDI STREET,29-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2332,11102116,1110,2116,11102116,CHRIS KOROSO,PO BOX 436 ARUSHA,willyenter99@yahoo.com,2.55767E+11,,Arusha,ARUSHA,,KIRANYI,Borehole,BOREHOLE,Individual,Domestic,0.02,0.02,0.02,,,,KIRANYI,30-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
2333,11102117,1110,2117,11102117,MRS MANJULA DEOSITI ABRAHAM,PO BOX 3122 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,OLORIENI,Borehole,BOREHOLE,Individual,Domestic,0.5,0.5,0.5,,,,OLORIENI,6-Dec-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2334,11102118,1110,2118,11102118,HUSSEIN ABBAS LALJIS,PO BOX 30 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,OLORIENI,Borehole,BOREHOLE,Individual,Domestic,0.01,0.01,0.01,,,,OLORIENI,5-Dec-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2335,11102119,1110,2119,11102119,JASMIN PROPERTIES LTD,PO BOX 174 ARUSHA,md.espanishtiles.co.tz,2.55788E+11,,Arusha,ARUSHA,,KAUNDA ROAD GYMKHANA,Borehole,BOREHOLE,Institution,Community Water Supply ,0.2,0.2,0.2,,,,KAUNDA ROAD GYMKHANA,29-Nov-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2337,11102120,1110,2120,11102120,MAGRETH ELANGWA SHAIDI,PO BOX 548 USA RIVER,,2.55687E+11,,Arusha,ARUMERU,,TENGERU,Borehole,BOREHOLE,Individual,Domestic,2,2,2,,,,TENGERU,17-Dec-18,New,Water Use Permit,Active,3-Apr-16,1826.25,3-Apr-21,-1413.75,Expired,11102120,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
2340,11102123,1110,2123,11102123,MR/MRS LOSERIAN E LAIZER,P.o. Box 12889 Arusha,,2.55754E+11,,Arusha,Arusha,,Oloirien,Borehole,BOREHOLE,Individual,Domestic,0.01,0.01,0.01,,,,Oloirien,1-Jul-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2341,11102124,1110,2124,11102124,PHILIP CONSTRUCTION,P.o.Box 360 Arusha,,2.55785E+11,,Arusha,Arusha,,Themi Area,Borehole,BOREHOLE,Hotel,Domestic,2,2,2,,,,Themi Area,28-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2342,11102125,1110,2125,11102125,ABRAHAM LOMAYANI MIAGIE,PO BOX 1650 ARUSHA,,2.55754E+11,,Arusha,ARUSHA,,MAKAO MAPYA LEVOLOSI,Borehole,BOREHOLE,Individual,Domestic,1.5,1.5,1.5,,,,MAKAO MAPYA LEVOLOSI,19-Oct-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2343,11102126,1110,2126,11102126,ABRAHAM LOMAYANI MIAGIE,PO BOX 1650 ARUSHA,,2.55754E+11,,Arusha,Arusha,,MOROMBO,Borehole,BOREHOLE,Individual,Domestic,0.02,0.02,0.02,,,,MOROMBO,4-Jan-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2344,11102127,1110,2127,11102127,ABRAHAM LOMAYANI MIAGIE,PO BOX 1650 ARUSHA,,754383311,,Arusha,ARUSHA,,KALOLENI,Borehole,BOREHOLE,Individual,Domestic,0.5,0.5,0.5,,,,KALOLENI,14-Jan-19,New,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2346,11102129,1110,2129,11102129,HANSPAUL INDUSTRIES LTD,P.o.Box 149 Arusha,,2.55767E+11,,Arusha,Arusha,,Njiro Industrial Area,Borehole,BOREHOLE,Large Scale Industry,Industry and Business,2,2,2,,,,Njiro Industrial Area,22-Nov-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
2350,11102133,1110,2133,11102133,HIFADHI NASORO,P.o.Box 5023 Tanga,,2.55677E+11,,Tanga,Tanga,,Gofu chini,Borehole,BOREHOLE,Large Scale Industry,Industry and Business,0.5,0.5,0.5,,9437484,"
509049",Gofu chini,12-Dec-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
2351,11102134,1110,2134,11102134,VASSO AGROVENTURE LTD,P.o.Box 7636 Moshi,fons@vasso-agro.com,2.55784E+11,,Kilimanjaro,Moshi,,Dakau  Kibosho,Borehole,BOREHOLE,Hortculture,Irrigation,8.7,8.7,8.7,,,,Dakau  Kibosho,27-Mar-19,New,Water Use Permit,Active,17-Dec-19,1826.25,16-Dec-24,-60.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,karanga,
2352,11102135,1110,2135,11102135,VASSO AGROVENTURE LTD,P.o.Box  7636 Moshi,,2.55784E+11,,Kilimanjaro,Moshi,,Dakau,Borehole,BOREHOLE,Hortculture,Irrigation,5.8,5.8,5.8,,,,Dakau,1-Nov-19,New,Water Use Permit,Active,27-Jul-19,1826.25,26-Jul-24,-203.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,karanga,
2353,11102136,1110,2136,11102136,VASSO AGROVENTURE LTD,P.o.Box 7636 Moshi,fons@vasso-agro.com,2.55784E+11,,Kilimanjaro,Moshi,,Dakau Kibosho,Borehole,BOREHOLE,Hortculture,Irrigation,5.8,5.8,5.8,,,,Dakau Kibosho,1-Nov-19,New,Water Use Permit,Active,27-Jul-19,1826.25,26-Jul-24,-203.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,karanga,
2354,11102137,1110,2137,11102137,ELIAS  S. NONGANONGA,P.o.Box1524 Tanga,tanyits@yahoo.com,2.55717E+11,,Tanga,Pangani,,Bushiri,Borehole,BOREHOLE,Small Scale Irrigation,Irrigation,5,5,5,,9408311,493745,Bushiri,23-Dec-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani chini,
2355,11102138,1110,2138,11102138,MIHAN GAS CO. LTD,P.o.Box 77578 Dar es salaam,mihangas@mihangas .com,2.55785E+11,,Tanga,Tanga,,Pongwe,Borehole,BOREHOLE,Large Scale Industry,Industry and Business,1,1,1,,9433155,494796,Pongwe,1-May-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Zigi,zigi chini,
2356,11102139,1110,2139,11102139,FUAD ABDULRAHIM BARAHIYAN,P.o.Box 007 TANGA,,2.55716E+11,784986025,Tanga,TANGA,,DUGA INDUSTRIAL AREA,Borehole,BOREHOLE,Large Scale Industry,Industry and Business,1,1,1,,,,DUGA INDUSTRIAL AREA,2-Jul-18,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Zigi,zigi chini,
