id,region,district,source_type,source_name,water_use,water_use_category,water_use_fee,amount_abstracted,amount_requested,water_source_capacity,permit_history,permit_type,activity_status,permit_status,catchment
95,Kilimanjaro,Hai,River,Lawate,Individual Use,Domestic,200000,0.03,0.03,321,Water Right,Water Right,Active,Invalid,Kikuletwa
1774,Kilimanjaro,Hai,River,MERU ,Individual Use,Domestic,200000,0.03,0.03,,Water Right,Water Right,Active,Invalid,Kikuletwa
2626,Kilimanjaro,Moshi,Spring,KIDENGERE ,Individual Use,Domestic,200000,0.03,0.03,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
1312,Kilimanjaro,Moshi,Spring,KINANGORO ,Individual Use,Domestic,200000,0.03,0.03,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2535,Kilimanjaro,Moshi,Spring,KIRUA ,Individual Use,Domestic,200000,0.03,0.03,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2180,Arusha,Arusha,River,Malala,Individual Use,Domestic,200000,0.03,0.03,72,Water Right,Water Right,Inactive,Invalid,Kikuletwa
568,Arusha,Arusha,Spring,Sanawari,Individual Use,Domestic,200000,0.03,0.03,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2153,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Kikuletwa
2476,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Kikuletwa
2121,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Kikuletwa
2244,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Kikuletwa
2546,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Kikuletwa
2630,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Kikuletwa
3392,Tanga,Lushoto,Spring,SHEMULE ,Individual Use,Domestic,200000,0.03,0.03,78,Water Right,Water Right,Active,Invalid,Luengera
2184,Tanga,Lushoto,River,Pangani,Individual Use,Domestic,200000,0.03,0.03,19820,Water Right,Water Right,Active,Invalid,Pangani Mainstream
2766,Tanga,Korogwe,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Pangani Mainstream
3011,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Application,Active,Invalid,Ruvu
3511,Kilimanjaro,Moshi,Spring,NKUU ,Individual Use,Domestic,200000,0.03,0.03,,Water Right,Water Right,Inactive,Invalid,Ruvu
2259,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Ruvu
2137,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Ruvu
2870,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,New,Water Use Permit,Active,Valid,Ruvu
707,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.03,0.03,0.03,Water Right,Water Right,Inactive,Invalid,Zigi
1977,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.04,0.04,0.04,New,Application,Active,Invalid,Kikuletwa
702,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.04,0.04,0.04,Water Right,Water Right,Active,Invalid,Kikuletwa
2934,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.04,0.04,0.04,New,Water Use Permit,Active,Valid,Kikuletwa
122,Arusha,Arumeru,Borehole,AR/12/96,Individual Use,Domestic,200000,0.04,0.04,0.04,Water Right,Water Use Permit,Active,Valid,Kikuletwa
1319,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.04,0.04,0.04,New,Application,Active,Invalid,Ruvu
1680,Kilimanjaro,Moshi,River,Msoo,Individual Use,Domestic,200000,0.04,0.04,56,Water Right,Water Right,Inactive,Invalid,Ruvu
2382,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.04,0.04,0.04,New,Water Use Permit,Active,Valid,Ruvu
2803,Kilimanjaro,Moshi,Spring,Ona,Individual Use,Domestic,200000,0.04,0.04,169,New,Water Use Permit,Active,Valid,Ruvu
2155,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.04,0.04,0.04,Water Right,Water Use Permit,Active,Valid,Ruvu
3429,Tanga,Lushoto,River,IRENTE ,Individual Use,Domestic,200000,0.04,0.04,96,Water Right,Water Right,Inactive,Invalid,Umba
224,Kilimanjaro,Moshi,Borehole,B/H 453/2006,Individual Use,Domestic,200000,0.05,0.05,0.05,Water Right,Water Right,Active,Invalid,Kikuletwa
257,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,Water Right,Water Right,Active,Invalid,Kikuletwa
1314,Kilimanjaro,Moshi,Spring,Nsere,Individual Use,Domestic,200000,0.05,0.05,53,Water Right,Water Right,Active,Invalid,Kikuletwa
3281,Arusha,Arusha,River,Selian ,Individual Use,Domestic,200000,0.05,0.05,96,Water Right,Water Right,Active,Invalid,Kikuletwa
1344,Arusha,Arusha,River,Tengeru,Individual Use,Domestic,200000,0.05,0.05,178,Water Right,Water Right,Active,Invalid,Kikuletwa
3638,Arusha,Arusha,River,KIGERI KUBWA ,Individual Use,Domestic,200000,0.05,0.05,76,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2151,Arusha,Arusha,Dam,LAKE DULUTI,Individual Use,Domestic,200000,0.05,0.05,250,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3315,Arusha,Arusha,Dam,LAKE DULUTI,Individual Use,Domestic,200000,0.05,0.05,250,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3541,Arusha,Arumeru,River,Nduruma,Individual Use,Domestic,200000,0.05,0.05,50.05,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3442,Arusha,Arusha,River,NGAREMOTONYI ,Individual Use,Domestic,200000,0.05,0.05,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2474,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2368,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2473,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2475,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2477,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2478,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2479,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2480,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2481,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2492,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
2183,Kilimanjaro,Hai,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Kikuletwa
1205,Manyara,Simanjiro,Spring,NGABOKI ,Individual Use,Domestic,200000,0.05,0.05,21,New,Application,Active,Invalid,Pangani Mainstream
2219,Kilimanjaro,Same,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Pangani Mainstream
2540,Tanga,Korogwe,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Pangani Mainstream
1816,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,Water Right,Water Right,Active,Invalid,Ruvu
3532,Kilimanjaro,Moshi,River,GOMBERI ,Individual Use,Domestic,200000,0.05,0.05,,Water Right,Water Right,Active,Invalid,Ruvu
3275,Kilimanjaro,Moshi,River,MARWE ,Individual Use,Domestic,200000,0.05,0.05,49.4,Water Right,Water Right,Active,Invalid,Ruvu
2303,Kilimanjaro,Moshi,Furrow,OSHI TRADING FURROW,Individual Use,Domestic,200000,0.05,0.05,,Water Right,Water Right,Inactive,Invalid,Ruvu
2156,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Ruvu
2407,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Ruvu
3422,Tanga,Lushoto,Spring,KUNGULISI ,Individual Use,Domestic,200000,0.05,0.05,,Water Right,Water Right,Inactive,Invalid,Umba
2551,Tanga,Muheza,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Umba
2554,Tanga,Muheza,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Umba
2557,Tanga,Muheza,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Umba
2539,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Zigi
2553,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.05,0.05,0.05,New,Water Use Permit,Active,Valid,Zigi
2097,Kilimanjaro,Hai,Borehole,Borehole,Individual Use,Domestic,200000,0.06,0.06,0.06,New,Application,Active,Invalid,Kikuletwa
2544,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.06,0.06,0.06,New,Water Use Permit,Active,Valid,Kikuletwa
2764,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.06,0.06,0.06,New,Water Use Permit,Active,Valid,Kikuletwa
1259,Arusha,Arumeru,Spring,Nkwamvifo ,Individual Use,Domestic,200000,0.06,0.06,,New,Water Use Permit,Active,Valid,Kikuletwa
3403,Tanga,Lushoto,River,KUNGULUI ,Individual Use,Domestic,200000,0.06,0.06,78,Water Right,Water Right,Inactive,Invalid,Luengera
729,Tanga,Lushoto,Spring,Nkoboha,Individual Use,Domestic,200000,0.06,0.06,,Water Right,Water Right,Active,Invalid,Mkomazi
2775,Kilimanjaro,Same,Borehole,Borehole,Individual Use,Domestic,200000,0.07,0.07,0.07,Water Right,Water Right,Inactive,Invalid,Pangani Mainstream
3380,Kilimanjaro,Moshi,Dam,NAIPILI SWAMP,Individual Use,Domestic,200000,0.08,0.08,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3280,Kilimanjaro,Moshi,River,UNA ,Individual Use,Domestic,200000,0.08,0.08,,Water Right,Water Right,Active,Invalid,Ruvu
2453,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.08,0.08,0.08,New,Application,Active,Invalid,Zigi
716,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.09,0.09,0.09,Water Right,Water Use Permit,Active,Invalid,Kikuletwa
2529,Tanga,Lushoto,River,UMBA ,Individual Use,Domestic,200000,0.09,0.09,,Water Right,Water Right,Inactive,Invalid,Umba
1403,Tanga,Lushoto,Spring,UNNAMED ,Individual Use,Domestic,200000,0.09,0.09,,Water Right,Water Right,Inactive,Invalid,Umba
3466,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.09,0.09,0.09,Water Right,Water Right,Active,Invalid,Zigi
2408,Tanga,Tanga,River,KIHUMWI ,Individual Use,Domestic,200000,0.09,0.09,43,Water Right,Water Right,Inactive,Invalid,Zigi
1167,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Application,Active,Invalid,Kikuletwa
1250,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Application,Active,Invalid,Kikuletwa
1178,Arusha,Arumeru,Spring,RYDON ,Individual Use,Domestic,200000,0.1,0.1,34,New,Application,Active,Invalid,Kikuletwa
2452,Kilimanjaro,Hai,Stream,KISHUMUYU STREAM,Individual Use,Domestic,200000,0.1,0.1,,Water Right,Water Right,Active,Invalid,Kikuletwa
124,Arusha,Arumeru,Borehole,B/H.AR 38/96,Individual Use,Domestic,200000,0.1,0.1,0.1,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3256,Kilimanjaro,Moshi,Spring,Njoro,Individual Use,Domestic,200000,0.1,0.1,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
1342,Arusha,Arusha,River,Tengeru,Individual Use,Domestic,200000,0.1,0.1,154,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2846,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2318,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2320,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2321,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2326,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2119,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2331,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2468,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2470,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
3198,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2232,Kilimanjaro,Hai,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2263,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2607,Kilimanjaro,Hai,Dug well,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2621,Kilimanjaro,Hai,Dug well,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Kikuletwa
2687,Kilimanjaro,Moshi,River,Karanga,Individual Use,Domestic,200000,0.1,0.1,5200,New,Water Use Permit,Active,Valid,Kikuletwa
3202,Kilimanjaro,Same,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Application,Active,Invalid,Pangani Mainstream
3507,Tanga,Korogwe,River,MOMBO ,Individual Use,Domestic,200000,0.1,0.1,,Water Right,Water Right,Active,Invalid,Pangani Mainstream
2140,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Ruvu
3048,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Ruvu
2786,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Ruvu
2440,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Zigi
2451,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.1,0.1,0.1,New,Water Use Permit,Active,Valid,Zigi
3266,Arusha,Arumeru,Spring,USA S,Individual Use,Domestic,200000,0.11,0.11,322,Water Right,Water Right,Active,Invalid,Kikuletwa
3295,Kilimanjaro,Moshi,River,Karanga,Individual Use,Domestic,200000,0.11,0.11,5200,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3444,Arusha,Arusha,River,NGARE MOTONYI ,Individual Use,Domestic,200000,0.11,0.11,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3445,Arusha,Arusha,River,NGARE MOTONYI ,Individual Use,Domestic,200000,0.11,0.11,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3446,Arusha,Arusha,River,NGARE MOTONYI ,Individual Use,Domestic,200000,0.11,0.11,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3447,Arusha,Arusha,River,NGARE MOTONYI ,Individual Use,Domestic,200000,0.11,0.11,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3448,Arusha,Arusha,River,NGARE MOTONYI ,Individual Use,Domestic,200000,0.11,0.11,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3441,Arusha,Arusha,Spring,NGARE MOTONYI  ,Individual Use,Domestic,200000,0.11,0.11,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3443,Arusha,Arusha,River,NGAREMOTONYI  ,Individual Use,Domestic,200000,0.11,0.11,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2699,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.11,0.11,0.11,New,Water Use Permit,Active,Valid,Kikuletwa
2666,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.12,0.12,0.12,New,Water Use Permit,Active,Valid,Ruvu
2488,Arusha,Arusha,River,OLMOTONYI  ,Individual Use,Domestic,200000,0.13,0.13,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2212,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.13,0.13,0.13,New,Water Use Permit,Active,Valid,Kikuletwa
3233,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.13,0.13,0.13,New,Water Use Permit,Active,Valid,Kikuletwa
2089,Kilimanjaro,Moshi,Stream,MATISSIA STREAM,Individual Use,Domestic,200000,0.13,0.13,32.3,Water Right,Water Right,Active,Invalid,Ruvu
2438,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.13,0.13,0.13,Water Right,Water Right,Active,Invalid,Zigi
97,Kilimanjaro,Hai,Spring,Kimukya,Individual Use,Domestic,200000,0.14,0.14,,Water Right,Water Right,Active,Invalid,Kikuletwa
96,Kilimanjaro,Hai,Spring,Nkolobu ,Individual Use,Domestic,200000,0.14,0.14,,Water Right,Water Right,Active,Invalid,Kikuletwa
3304,Kilimanjaro,Moshi,River,Weruweru,Individual Use,Domestic,200000,0.14,0.14,3256,Water Right,Water Right,Inactive,Invalid,Kikuletwa
1241,Tanga,Tanga,Stream,UN-NAMED STREAM,Individual Use,Domestic,200000,0.15,0.15,45,Water Right,Water Right,Active,Invalid,Zigi
498,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.16,0.16,0.16,Water Right,Water Right,Active,Invalid,Kikuletwa
3439,Arusha,Arusha,Spring,NGARE MOTONYI ,Individual Use,Domestic,200000,0.16,0.16,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3410,Tanga,Lushoto,River,MKUSI ,Individual Use,Domestic,200000,0.16,0.16,78,Water Right,Water Right,Inactive,Invalid,Luengera
62,Kilimanjaro,Moshi,Spring,Herman J. ,Individual Use,Domestic,200000,0.17,0.17,,Water Right,Water Right,Active,Invalid,Kikuletwa
2170,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.17,0.17,0.17,New,Water Use Permit,Active,Valid,Kikuletwa
2171,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.17,0.17,0.17,New,Water Use Permit,Active,Valid,Kikuletwa
3411,Tanga,Lushoto,Stream,KAMFUR STREAM,Individual Use,Domestic,200000,0.17,0.17,78,Water Right,Water Right,Inactive,Invalid,Luengera
3412,Tanga,Lushoto,River,KUNGUWI ,Individual Use,Domestic,200000,0.17,0.17,78,Water Right,Water Right,Inactive,Invalid,Luengera
158,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.18,0.18,0.18,Water Right,Water Right,Active,Invalid,Kikuletwa
3496,Kilimanjaro,Moshi,River,Msoo,Individual Use,Domestic,200000,0.18,0.18,56,Water Right,Water Right,Active,Invalid,Kikuletwa
1881,Tanga,Tanga,River,MKULUMUZI ,Individual Use,Domestic,200000,0.18,0.18,,Water Right,Water Right,Active,Invalid,Mkulumuzi
2962,Tanga,Pangani,Borehole,Borehole,Individual Use,Domestic,200000,0.18,0.18,0.18,Water Right,Water Right,Active,Invalid,Pangani Mainstream
2964,Tanga,Pangani,Borehole,Borehole,Individual Use,Domestic,200000,0.18,0.18,0.18,Water Right,Water Right,Active,Invalid,Pangani Mainstream
1210,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Application,Active,Invalid,Kikuletwa
1140,Arusha,Arumeru,River,Usa,Individual Use,Domestic,200000,0.2,0.2,450,New,Water Use Permit,Active,Invalid,Kikuletwa
2120,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Kikuletwa
2168,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Kikuletwa
2542,Arusha,Arumeru,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Kikuletwa
2240,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Kikuletwa
2317,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Kikuletwa
2697,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Kikuletwa
2698,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Kikuletwa
3196,Arusha,Arusha,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Kikuletwa
3166,Arusha,Arumeru,Spring,Malala,Individual Use,Domestic,200000,0.2,0.2,14.3,New,Water Use Permit,Active,Valid,Kikuletwa
2991,Arusha,Arumeru,Spring,NDURUMANGA ,Individual Use,Domestic,200000,0.2,0.2,21,New,Water Use Permit,Active,Valid,Kikuletwa
1132,Tanga,Lushoto,Spring,KIUZI ,Individual Use,Domestic,200000,0.2,0.2,211,New,Application,Active,Invalid,Mkomazi
3586,Tanga,Korogwe,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,Water Right,Water Right,Active,Invalid,Pangani Mainstream
2897,Kilimanjaro,Mwanga,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Pangani Mainstream
2921,Manyara,Simanjiro,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Pangani Mainstream
2644,Manyara,Simanjiro,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Pangani Mainstream
2748,Kilimanjaro,Same,Spring,Goru,Individual Use,Domestic,200000,0.2,0.2,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2622,Kilimanjaro,Mwanga,Spring,Mbokweni,Individual Use,Domestic,200000,0.2,0.2,67,New,Water Use Permit,Active,Valid,Pangani Mainstream
2436,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Ruvu
2974,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Ruvu
3054,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Ruvu
364,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,Water Right,Water Use Permit,Active,Valid,Ruvu
2443,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Zigi
2447,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Zigi
2449,Tanga,Tanga,Borehole,Borehole,Individual Use,Domestic,200000,0.2,0.2,0.2,New,Water Use Permit,Active,Valid,Zigi
3296,Kilimanjaro,Moshi,River,MSIRIRI ,Individual Use,Domestic,200000,0.21,0.21,,Water Right,Water Right,Active,Invalid,Kikuletwa
3160,Kilimanjaro,Moshi,Spring,SEMINARY ,Individual Use,Domestic,200000,0.21,0.21,,Water Right,Water Right,Active,Invalid,Kikuletwa
1800,Arusha,Arusha,River,Tengeru,Individual Use,Domestic,200000,0.21,0.21,164,Water Right,Water Right,Active,Invalid,Kikuletwa
3283,Arusha,Arusha,Spring,IN A KORONGO,Individual Use,Domestic,200000,0.21,0.21,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
3475,Kilimanjaro,Moshi,Spring,MAKONDA ,Individual Use,Domestic,200000,0.21,0.21,,Water Right,Water Right,Inactive,Invalid,Ruvu
626,Kilimanjaro,Moshi,Spring,Kimachoka,Individual Use,Domestic,200000,0.25,0.25,,Water Right,Water Right,Active,Invalid,Ruvu
3300,Kilimanjaro,Moshi,River,Karanga,Individual Use,Domestic,200000,0.26,0.26,5200,Water Right,Water Right,Active,Invalid,Kikuletwa
63,Kilimanjaro,Moshi,Borehole,Borehole,Individual Use,Domestic,200000,0.26,0.26,0.26,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2418,Arusha,Arusha,Dam,DULUTI,Individual Use,Domestic,200000,0.26,0.26,250,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2162,Tanga,Korogwe,River,KWELULO ,Individual Use,Domestic,200000,0.26,0.26,,Water Right,Water Right,Active,Invalid,Pangani Mainstream
3181,Kilimanjaro,Same,Spring,MAHURU ,Individual Use,Domestic,200000,0.26,0.26,,Water Right,Water Right,Active,Invalid,Pangani Mainstream
3472,Tanga,Korogwe,River,MOMBO ,Individual Use,Domestic,200000,0.26,0.26,,Water Right,Water Right,Active,Invalid,Pangani Mainstream
1641,Kilimanjaro,Moshi,River,UNA ,Individual Use,Domestic,200000,0.26,0.26,,Water Right,Water Right,Active,Invalid,Pangani Mainstream
2690,Tanga,Lushoto,River,UMBE ,Individual Use,Domestic,200000,0.26,0.26,,Water Right,Water Right,Inactive,Invalid,Umba
